Country,Year,Export_tonnes
Madagascar,2004,7620.0
Malawi,2004,1560.0
Mexico,2004,141720.0
Nepal,2004,60.0
Nicaragua,2004,78660.0
Nigeria,2004,360.0
Panama,2004,5940.0
Papua New Guinea,2004,62880.0
Paraguay,2004,1020.0
Peru,2004,191040.0
Philippines,2004,1740.0
Rwanda,2004,27000.0
Sierra Leone,2004,1380.0
Sri Lanka,2004,420.0
Tanzania,2004,33180.0
Thailand,2004,25200.0
Timor-Leste,2004,1320.0
Togo,2004,8940.0
Trinidad & Tobago,2004,120.0
Uganda,2004,157620.0
Venezuela,2004,10200.0
Viet Nam,2004,891540.0
Yemen,2004,2700.0
Zambia,2004,6240.0
Zimbabwe,2004,6780.0
Angola,2005,300.0
Bolivia (Plurinational State of),2005,5040.0
Brazil,2005,1571880.0
Burundi,2005,22260.0
Cameroon,2005,42240.0
Central African Republic,2005,2820.0
Colombia,2005,652260.0
Costa Rica,2005,88800.0
Côte d'Ivoire,2005,105240.0
Cuba,2005,1440.0
Democratic Republic of Congo,2005,9480.0
Dominican Republic,2005,2520.0
Ecuador,2005,59580.0
El Salvador,2005,76800.0
Ethiopia,2005,146100.0
Ghana,2005,1080.0
Guatemala,2005,207960.0
Guinea,2005,16740.0
Guyana,2005,60.0
Haiti,2005,1500.0
Honduras,2005,143520.0
India,2005,169740.0
Indonesia,2005,404640.0
Jamaica,2005,900.0
Kenya,2005,40380.0
Lao People's Democratic Republic,2005,14220.0
Liberia,2005,60.0
Madagascar,2005,5760.0
Malawi,2005,1260.0
Mexico,2005,119100.0
Nepal,2005,60.0
Nicaragua,2005,60180.0
Nigeria,2005,480.0
Panama,2005,5400.0
Papua New Guinea,2005,72000.0
Paraguay,2005,1440.0
Peru,2005,142140.0
Philippines,2005,2040.0
Rwanda,2005,14160.0
Sierra Leone,2005,1200.0
Sri Lanka,2005,180.0
Tanzania,2005,42720.0
Thailand,2005,22500.0
Timor-Leste,2005,1080.0
Togo,2005,9840.0
Trinidad & Tobago,2005,60.0
Uganda,2005,142140.0
Venezuela,2005,1320.0
Viet Nam,2005,805920.0
Yemen,2005,4680.0
Zambia,2005,6360.0
Zimbabwe,2005,4260.0
Angola,2006,300.0
Bolivia (Plurinational State of),2006,5580.0
Brazil,2006,1642140.0
Burundi,2006,16860.0
Cameroon,2006,44340.0
Central African Republic,2006,1020.0
Colombia,2006,656700.0
Costa Rica,2006,78600.0
Côte d'Ivoire,2006,105060.0
Cuba,2006,960.0
Democratic Republic of Congo,2006,8280.0
Dominican Republic,2006,7500.0
Ecuador,2006,60900.0
El Salvador,2006,77580.0
Ethiopia,2006,176160.0
Gabon,2006,60.0
Ghana,2006,540.0
Guatemala,2006,198720.0
Guinea,2006,31140.0
Guyana,2006,120.0
Haiti,2006,1440.0
Honduras,2006,173880.0
India,2006,214680.0
Indonesia,2006,316800.0
Jamaica,2006,1500.0
Kenya,2006,35820.0
Lao People's Democratic Republic,2006,7200.0
Madagascar,2006,10740.0
Malawi,2006,1020.0
Mexico,2006,154200.0
Nepal,2006,60.0
Nicaragua,2006,86700.0
Nigeria,2006,1680.0
Panama,2006,6420.0
Papua New Guinea,2006,50940.0
Paraguay,2006,1500.0
Peru,2006,232860.0
Philippines,2006,2280.0
Rwanda,2006,23340.0
Sierra Leone,2006,3060.0
Sri Lanka,2006,420.0
Tanzania,2006,43920.0
Thailand,2006,32400.0
Timor-Leste,2006,2940.0
Togo,2006,7080.0
Trinidad & Tobago,2006,60.0
Uganda,2006,130380.0
Venezuela,2006,3900.0
Viet Nam,2006,834300.0
Yemen,2006,3660.0
Zambia,2006,4680.0
Zimbabwe,2006,3240.0
Angola,2007,240.0
Bolivia (Plurinational State of),2007,5040.0
Brazil,2007,1691040.0
Burundi,2007,21360.0
Cameroon,2007,43260.0
Central African Republic,2007,7320.0
Colombia,2007,678000.0
Costa Rica,2007,81840.0
Côte d'Ivoire,2007,131760.0
Cuba,2007,960.0
Democratic Republic of Congo,2007,12000.0
Dominican Republic,2007,4680.0
Ecuador,2007,59460.0
El Salvador,2007,72600.0
Ethiopia,2007,156240.0
Ghana,2007,1320.0
Guatemala,2007,223560.0
Guinea,2007,26160.0
Guyana,2007,120.0
Haiti,2007,1260.0
Honduras,2007,198720.0
India,2007,199140.0
Indonesia,2007,248940.0
Jamaica,2007,1380.0
Kenya,2007,49020.0
Lao People's Democratic Republic,2007,15120.0
Liberia,2007,120.0
Madagascar,2007,5940.0
Malawi,2007,1140.0
Mexico,2007,174720.0
Nepal,2007,120.0
Nicaragua,2007,75540.0
Nigeria,2007,540.0
Panama,2007,6540.0
Papua New Guinea,2007,54540.0
Paraguay,2007,1860.0
Peru,2007,172740.0
Philippines,2007,1920.0
Rwanda,2007,15360.0
Sierra Leone,2007,3060.0
Sri Lanka,2007,240.0
Tanzania,2007,48420.0
Thailand,2007,21900.0
Timor-Leste,2007,1860.0
Togo,2007,9300.0
Trinidad & Tobago,2007,60.0
Uganda,2007,161580.0
Venezuela,2007,4200.0
Viet Nam,2007,1076160.0
Yemen,2007,4320.0
Zambia,2007,3240.0
Zimbabwe,2007,1920.0
Angola,2008,360.0
Bolivia (Plurinational State of),2008,4080.0
Brazil,2008,1770600.0
Burundi,2008,15060.0
Cameroon,2008,31620.0
Central African Republic,2008,1980.0
Colombia,2008,665100.0
Costa Rica,2008,86400.0
Côte d'Ivoire,2008,89400.0
Cuba,2008,240.0
Democratic Republic of Congo,2008,12180.0
